datetimeLocal,pm1,pm25,relativehumidity,temperature,um003
2025-08-03 02:00:00+00:00,19.354166507720947,31.479166348775227,69.44166692097981,24.75833320617676,1065.8333333333333
2025-08-03 03:00:00+00:00,16.504166841506958,27.354166984558105,68.40833282470703,24.96249993642171,937.2083333333334
2025-08-03 04:00:00+00:00,16.78749990463257,27.604166666666668,68.77499961853027,24.60000022252401,925.2916666666666
2025-08-03 05:00:00+00:00,15.59166661898295,27.704166730244957,68.68750063578288,24.520833492279053,902.3333333333334
2025-08-03 06:00:00+00:00,20.2458332379659,31.82916657129924,69.73333358764648,24.050000031789143,1079.9583333333333
2025-08-03 07:00:00+00:00,26.295833269755047,41.9375,70.26666514078777,23.891667048136394,1668.0
2025-08-03 08:00:00+00:00,28.91250022252401,46.46250025431315,67.57916577657063,24.82916641235352,2007.6666666666667
2025-08-03 09:00:00+00:00,28.02499993642171,43.56666660308838,64.50000127156575,25.51250028610229,1820.125
2025-08-03 10:00:00+00:00,27.78333346048991,42.71666685740153,59.67083422342936,26.75416644414266,1863.625
2025-08-03 11:00:00+00:00,26.050000190734863,39.56666692097982,55.46666717529297,28.00833336512248,1555.5
2025-08-03 12:00:00+00:00,29.07083336512248,45.17499923706055,55.88750012715658,27.99166679382324,1651.75
2025-08-03 13:00:00+00:00,16.275000015894573,26.09166669845581,60.07499980926514,26.81666660308838,898.5833333333334
2025-08-03 14:00:00+00:00,14.02916669845581,25.112500190734863,58.0,27.424999872843426,878.6666666666666
2025-08-03 15:00:00+00:00,11.541666746139526,23.758333524068195,62.47083377838135,26.116666316986084,828.5833333333334
2025-08-03 16:00:00+00:00,16.924999793370564,28.20416657129924,64.68333371480306,25.59999990463257,946.5833333333334
2025-08-03 17:00:00+00:00,21.170833428700764,32.916666666666664,66.7375005086263,25.229166984558105,1145.375
2025-08-03 18:00:00+00:00,21.212500254313152,33.41250038146973,68.97500101725261,24.65416685740153,1143.8333333333333
2025-08-03 19:00:00+00:00,21.166666984558105,32.80416679382324,69.55833371480306,24.39583285649617,1136.9166666666667
2025-08-03 20:00:00+00:00,20.10000006357829,30.82500012715657,69.45416641235352,24.52916669845581,1031.5
2025-08-03 21:00:00+00:00,17.25,27.78333330154419,69.34999974568684,24.5041667620341,920.2916666666666
2025-08-03 22:00:00+00:00,19.13750012715657,30.379166920979817,68.21250025431316,24.916666666666668,1039.7916666666667
2025-08-03 23:00:00+00:00,33.42083342870077,50.083333333333336,67.18749936421712,25.254166920979817,2312.6666666666665
2025-08-04 00:00:00+00:00,22.75833336512248,35.38749980926514,67.75,25.25416644414266,1278.5416666666667
2025-08-04 01:00:00+00:00,23.099999984105427,35.804166634877525,66.71666653951009,25.416666666666668,1373.9583333333333
2025-08-04 02:00:00+00:00,25.86666679382324,41.44166660308838,69.32916641235352,24.62916644414266,1610.9583333333333
2025-08-04 03:00:00+00:00,23.904166380564373,37.31249968210856,69.88750012715657,24.61666679382324,1397.7083333333333
2025-08-04 04:00:00+00:00,24.64583317438761,39.65416717529297,69.76250012715657,24.74166663487752,1510.7916666666667
2025-08-04 05:00:00+00:00,23.083333651224773,37.66666666666666,71.57083320617676,24.02500009536743,1381.625
2025-08-04 06:00:00+00:00,25.795833428700764,41.17499987284342,71.96249961853027,23.7541667620341,1600.625
2025-08-04 07:00:00+00:00,22.14166657129924,34.97083346048991,71.59166590372722,23.90000009536743,1274.0416666666667
2025-08-04 08:00:00+00:00,22.90000009536743,35.53333346048991,69.35416603088379,24.65416669845581,1318.5833333333333
2025-08-04 09:00:00+00:00,21.6875,33.84583346048991,67.94583384195964,25.079166730244957,1216.375
2025-08-04 10:00:00+00:00,18.41250006357829,28.570833524068195,65.79166730244954,25.62499984105428,991.4583333333334
2025-08-04 11:00:00+00:00,22.020833094914757,35.84166653951009,64.25416660308838,26.30833339691162,1436.7083333333333
2025-08-04 12:00:00+00:00,24.00000015894572,36.866666634877525,67.36666742960612,25.662499745686848,1403.2916666666667
